cagr,mdd,sharpe,sortino,calmar
0.521910842931737,-0.2916904378549767,1.6710949614882555,2.400707379728192,1.7892627772433929
0.5507221636434436,-0.2587052963729164,1.764555784772005,2.4437656333043853,2.1287626166322977
0.6149162804183466,-0.16610682820126665,1.9886111166518152,2.9190741208247135,3.7019325880647784
0.3760430523118239,-0.19480847854343664,1.3718644452903868,1.9409882774750065,1.9303217966869815
0.7401065110840497,-0.17176921097786835,2.1133615685102023,2.8373874012611373,4.308726266312121
0.2869868211715425,-0.20714589966100372,1.0879374048177126,1.4977144102580437,1.385433270179131
0.6156868183715951,-0.1569813964149518,1.945637761449135,2.6239264241528795,3.9220368300466566
0.5814099365743883,-0.20926426487127248,1.7622906125134796,2.3728019452729674,2.778352706000897
0.5118891156931984,-0.2500028669179061,1.6295787749695334,2.110996006764302,2.047532982336912
0.5168809409652517,-0.21987976787393904,1.6769358737906144,2.3709519106943326,2.350743526624008
0.6172448284280168,-0.25705386106244277,1.8366956311993325,2.5582392955583755,2.4012276099524428
0.548465784075016,-0.20740143860438687,1.7088079109315515,2.2894370200870693,2.644464704611818
0.4058786340509628,-0.21747368581569804,1.397390333719862,1.9525895904377482,1.866334460321475
0.5428976748773413,-0.27187136107258747,1.7808758985442388,2.3807938755371514,1.9968917385615765
0.5051663823444792,-0.2681769415975207,1.5789857313283175,2.0174737490914163,1.8837055092627302
0.5414408353053157,-0.22254844692288644,1.7705327013795475,2.55117031834316,2.4329122166057005
0.573680496951688,-0.2564174143793726,1.7514562345791298,2.3775418319330592,2.237291481704596
0.47365218807884335,-0.2614365473714849,1.611006635643683,2.4035194892455096,1.8117290518139124
0.430159041599498,-0.2619833314486958,1.5259819116242972,2.096200907792344,1.6419328635178307
0.3512178395348362,-0.22784008671843603,1.250127438327275,1.7153881841327139,1.541510296073886
0.5472530020920245,-0.2081310471469775,1.6915178153870718,2.2783231183847232,2.629367456675345
0.3666579371375469,-0.28566416638632586,1.2198230163880521,1.6941149743924673,1.283527933432459
0.630768705246292,-0.18542795508071452,1.8697698714494797,2.546320824102863,3.4016915355169943
0.5337130860077879,-0.37076701676447066,1.5317201606913355,2.014409115391408,1.4394837239441622
0.3792190051131743,-0.185804210534247,1.2955412543100853,1.7714789842359067,2.040960234554413
0.5268158940167065,-0.18832342151364845,1.7024297834188444,2.4781057367729504,2.7973997593205704
0.8302994910505408,-0.20641464109169605,2.424373041392685,3.501751529375085,4.022483515022052
0.32382440772606325,-0.26106544835270573,1.1598398042415752,1.4698552767236714,1.2403955014704537
0.3342025959858197,-0.3435717958567369,1.1881668976978395,1.7011640633867162,0.9727300087378999
0.5184424151593332,-0.3257281984934701,1.6585417521507853,2.215750384747064,1.5916411829162724
0.5270864554340418,-0.23074526425368957,1.6999126853161184,2.41195585742865,2.284278540401783
0.49986200009718695,-0.26219139990590623,1.587538266376839,2.276353312420281,1.906477482772412
0.8892518812723638,-0.22783535912032238,2.356879220136984,3.0848113675407953,3.9030459745396238
0.6625986708100577,-0.2277016241717824,1.9387639648000812,2.633145161671859,2.90994266387042
0.7120807836845355,-0.25216771357252943,2.082714305524406,3.099831967301935,2.8238380464980666
