date,yangbyungi,goldenbyungi,longbyungi,soxl_bnh
2021-09-10,191139.2764884371,199393.3139707943,24247.209867060184,21490.196078431374
2021-09-13,193968.9951334481,203629.20118330474,24762.314632458594,22025.374855824684
2021-09-14,193968.9951334481,203629.20118330474,24762.314632458594,21946.943483275663
2021-09-15,195168.8970383021,206930.32625797397,24986.141306372425,22362.168396770474
2021-09-16,194365.19122508675,208390.7178387563,24565.324725449416,22788.927335640143
2021-09-17,192366.3934357172,202249.00481851547,23841.332907207896,21568.62745098039
2021-09-20,192366.3934357172,202249.00481851547,23841.332907207896,19552.479815455594
2021-09-21,192366.3934357172,202249.00481851547,23841.332907207896,20179.930795847755
2021-09-22,194569.400329852,206372.9105562491,24236.22870968864,21277.970011534024
2021-09-23,196629.67770034785,209528.34408662206,24792.025193573594,22196.07843137255
2021-09-24,195760.37255653364,212666.36322926715,24306.557162806428,22191.464821222606
2021-09-27,193530.9535373423,207049.01794303217,23664.526508640894,21981.54555940023
2021-09-28,186729.2948137311,181193.9660925681,22470.75553641942,19372.549019607843
2021-09-29,186518.91271355702,182462.77869996938,22470.75553641942,18479.815455594002
2021-09-30,184307.11749503989,182462.77869996938,22470.75553641942,18560.55363321799
2021-10-01,184307.11749503989,182462.77869996938,22470.75553641942,18523.644752018452
2021-10-04,184326.47374030133,182462.77869996938,22470.75553641942,17005.76701268743
2021-10-05,183750.17933100526,182462.77869996938,22515.81531181218,17813.148788927334
2021-10-06,183959.14698104004,184673.35075997494,22213.27017241972,17965.397923875433
2021-10-07,187093.86669464398,187880.12270461617,22629.625181822947,18620.530565167242
2021-10-08,187093.86669464398,186608.2766842881,22408.71552091458,18154.555940023067
2021-10-11,187093.86669464398,186608.2766842881,22408.71552091458,17794.694348327568
2021-10-12,186354.51393430197,186608.2766842881,22408.71552091458,17084.19838523645
2021-10-13,184635.3769494337,186608.2766842881,22408.71552091458,17342.56055363322
2021-10-14,184635.3769494337,188486.32930587203,22730.893444164572,18901.960784313727
2021-10-15,184635.3769494337,191152.74466522387,23188.31415385338,19229.52710495963
2021-10-18,187869.7116060043,195975.5107755106,23773.35318037504,19769.319492502884
2021-10-19,189634.7257524198,200120.71856737012,24200.754013921865,20461.361014994232
2021-10-20,189153.1302033365,195962.9657298367,24022.075896611856,20339.10034602076
2021-10-21,192144.72183742386,199351.76141954603,24569.741216389208,21051.90311418685
2021-10-22,184752.02518627045,186705.52110387143,23011.115149060526,20309.111880046137
2021-10-25,184811.44010488014,187215.83963499765,23018.00609679865,20659.746251441753
2021-10-26,188100.44665967012,191964.99414282356,23601.91004226022,20507.497116493658
2021-10-27,183661.87126193556,186201.71836400815,22802.873157124308,20325.259515570935
2021-10-28,188853.17970626248,196137.31993559483,23726.026486352624,21621.683967704732
2021-10-29,188509.73707766665,194318.90592928656,23664.995984274527,21970.011534025376
2021-11-01,191663.1884320405,200195.4318208084,24284.384968902876,23008.073817762397
2021-11-02,194253.79206608894,205569.7839843606,24812.598219419728,23903.114186851213
2021-11-03,196457.11721997993,210876.3552545021,25261.66963384645,24758.93886966551
2021-11-04,204464.68865500088,226341.18089998607,27114.25910946483,27284.89042675894
2021-11-05,207598.7359651957,236091.1193005746,28282.2408043721,28041.52249134948
2021-11-08,205134.9096729786,236076.45800915585,27798.55522586125,29296.424452133797
2021-11-09,207957.46021856432,231950.85060643664,28343.551959835986,29148.788927335638
2021-11-10,207957.46021856432,206130.6265097999,26710.675513514267,26809.688581314877
2021-11-11,209536.5898336622,211732.55335750376,27739.756951523326,28419.838523644754
2021-11-12,210752.89224979782,211732.55335750376,28076.470379447535,29333.333333333332
2021-11-15,210968.27323665217,211732.55335750376,28154.090323950888,29056.51672433679
2021-11-16,214008.43099573534,216721.32288446833,28739.42977511948,30468.28143021915
2021-11-17,209830.34355413032,208697.43477906092,27675.381412643837,29843.137254901965
2021-11-18,216665.74412608,216777.9243365409,28966.378316882998,31312.5720876586
2021-11-19,215526.9881195628,214175.14452111677,28744.575975302196,31607.843137254906
2021-11-22,206052.0228679923,200241.3209689499,26874.509069932483,30126.87427912341
2021-11-23,201343.33303127793,198232.82484650429,25986.349228584048,29771.62629757786
2021-11-24,202730.28795231692,206386.7304989535,26227.945916639503,30777.393310265277
2021-11-26,198806.549332576,184197.74045911533,23408.1346366082,28143.021914648216
2021-11-29,198806.549332576,195988.79756962057,25712.036280598237,31570.934256055367
2021-11-30,189242.14683859734,195988.79756962057,23540.583373042227,29730.103806228377
2021-12-01,194695.3835616255,195988.79756962057,22713.062727710134,29402.53748558247
2021-12-02,197926.8699674136,198043.2503091109,23256.261478167984,29158.016147635524
2021-12-03,201861.28538273196,209177.6153402483,22420.275184797145,29014.994232987312
2021-12-06,198853.53302944914,208055.47144027142,22516.292717612432,28890.42675893887
2021-12-07,199519.06195550037,225201.60361423763,25325.158740856812,33107.26643598616
2021-12-08,200203.770538205,219007.46803376052,24486.8907487219,32560.55363321799
2021-12-09,191194.00479048607,210547.56689056155,22435.704262525043,30465.974625144172
2021-12-10,196324.27949675557,217185.55631465223,22612.957062014484,31220.299884659747
2021-12-13,198121.6154459325,217185.55631465223,22790.72990681975,28830.449826989618
2021-12-14,198819.84017964924,217185.55631465223,22656.49434531801,28207.612456747403
2021-12-15,212368.9972342278,237255.8900887191,24866.689334280803,31506.343713956176
2021-12-16,217332.94548263893,231187.78721903893,24230.69404306856,27314.878892733563
2021-12-17,219938.8220528682,231187.78721903893,24384.68861319136,27049.59630911188
2021-12-20,217841.09920807593,229882.65272343036,23558.447289691652,26638.985005767012
2021-12-21,222053.70955994417,242080.99362200906,25353.15411884998,29310.26528258362
2021-12-22,225431.77515956445,239021.69220159226,25533.350016674944,30099.19261822376
2021-12-23,226293.06356064242,238621.35503323333,25903.133710674203,31314.878892733566
2021-12-27,232961.82933369555,248095.11034150963,27179.199992787828,33407.151095732406
