date,walk_forward,YB_RSI_70_60_50,YB_Consensus_80_60_40,YB_HybridAND_80_60_40,YB_MDD_AND_60_40_20,GB_intraday_opt,bench
2020-07-23,92602.84908707562,89009.11922800435,87209.33830432415,87209.33830432406,90788.6982034635,92602.8490870756,115269.70954356846
2020-07-24,85788.93934418987,86288.5095846378,83892.95004856259,83892.9500485625,88683.32264292618,85788.93934418986,109875.51867219916
2020-07-27,91787.9945345014,88667.3030773317,86536.09625813384,86536.09625813377,90778.87704851224,91787.99453450138,120331.95020746888
2020-07-28,90002.2875250425,88061.01633879094,85862.43353801579,85862.43353801573,90244.77988963753,90002.28752504248,113112.03319502075
2020-07-29,90002.2875250425,88986.24008990494,86893.43247995964,86893.43247995955,91057.49508487752,90002.28752504248,120248.96265560166
2020-07-30,90002.2875250425,91918.01041097665,90163.78557216593,90163.78557216584,93630.06877229843,90002.28752504248,127302.90456431535
2020-07-31,90002.2875250425,91132.52803036118,89432.67790310574,89432.67790310562,92788.63914266486,90002.28752504248,125394.1908713693
2020-08-03,91707.11334578527,91640.3810154245,90114.02630903028,90114.02630903016,93115.88708314345,91707.11334578526,132448.132780083
2020-08-04,91456.94305053922,93632.24792802671,92352.4217646679,92352.42176466779,94850.77518428215,91456.94305053922,138672.19917012448
2020-08-05,90307.39706525372,93450.75303855084,92148.47990883575,92148.47990883565,94692.68306624253,90307.39706525371,138091.28630705393
2020-08-06,89688.40006963443,93450.75303855084,92148.47990883575,92148.47990883565,94692.68306624253,89688.40006963442,137676.34854771785
2020-08-07,86457.04426780881,90325.9473243142,88811.30711499188,88811.30711499177,91789.3278820131,86457.04426780881,133029.0456431535
2020-08-10,86868.569124881,90542.99552115145,89098.52227147463,89098.52227147452,91934.04815925224,86868.56912488099,133278.00829875516
2020-08-11,82914.03743546084,87611.45183276456,85801.63604339973,85801.63604339962,89382.69189480231,82914.03743546084,128547.71784232363
2020-08-12,89680.17146479808,92700.49991235939,91516.49917266164,91516.49917266153,93818.25398434515,89680.17146479807,141659.7510373444
2020-08-13,89498.97487832839,92638.79868256225,91447.25690910044,91447.25690910031,93764.4398050693,89498.97487832837,136846.47302904562
2020-08-14,87393.32335986577,90945.56851402481,89537.02668245039,89537.02668245028,92295.46462893095,87393.32335986575,136680.49792531118
2020-08-17,89310.78883909492,92112.95997153604,90854.14793805624,90854.1479380561,93308.15209346752,89310.78883909491,141493.77593360996
2020-08-18,90438.64541635879,92935.93713172994,91782.24686898274,91782.24686898262,94022.40070619156,90438.64541635878,139087.13692946057
2020-08-19,90438.64541635879,92935.93713172994,91782.24686898274,91782.24686898262,94022.40070619156,90438.64541635878,136514.52282157674
2020-08-20,89787.69611221629,92130.10000984612,90872.72275174552,90872.7227517454,93323.60836954643,89787.69611221628,133029.0456431535
2020-08-21,90866.96452231063,92530.71471555223,91324.02688485765,91324.02688485757,93671.66564370079,90866.96452231062,136099.58506224066
2020-08-24,92285.80593309696,93477.62095589515,92391.22666158133,92391.22666158121,94493.97482189625,92285.80593309694,139751.03734439833
2020-08-25,94275.86792460988,94154.71355867982,93156.0534633035,93156.05346330341,95080.65004385564,94275.86792460986,144232.3651452282
2020-08-26,94402.67560144563,94359.7193236017,93387.62282748643,93387.62282748634,95258.27981287669,94402.67560144562,145726.14107883815
2020-08-27,94859.59363949577,94359.7193236017,93387.62282748643,93387.62282748634,95258.27981287669,94859.59363949575,140248.96265560164
2020-08-28,97778.09078431586,96525.54396699349,95837.35112084133,95837.35112084122,97132.37910062437,97778.09078431586,148132.78008298756
2020-08-31,97640.26542782864,95177.01330677574,94307.40900397026,94307.40900397016,95969.03937067675,97640.26542782864,147468.87966804978
