date,R10+RSI 70/60/50,Consensus 80/60/40 (default),Hybrid Cons + (VIX_back OR SOXL_mom5),Hybrid Cons + VIX_back,Hybrid Cons + (VIX_back AND SOXL_mom5),soxl_bnh
2020-10-13,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,147123.41407151095
2020-10-14,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,145116.49365628604
2020-10-15,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,143303.3448673587
2020-10-16,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,140968.85813148788
2020-10-19,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,138657.4394463668
2020-10-20,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,139395.61707035755
2020-10-21,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,135460.20761245675
2020-10-22,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,136281.43021914648
2020-10-23,113166.74003251622,115704.68529985772,115704.68529985772,115704.68529985772,115704.68529985772,131404.84429065743
2020-10-26,112516.10970677045,115039.4635477305,115039.4635477305,115039.4635477305,115039.4635477305,124724.33679354093
2020-10-27,111197.3209542745,113691.09884675304,113691.09884675304,113691.09884675304,113691.09884675304,124175.31718569782
2020-10-28,111197.3209542745,113691.09884675304,113691.09884675304,113691.09884675304,113691.09884675304,111797.00115340254
2020-10-29,114746.80158642061,117838.62275101176,115764.86079888241,115764.86079888241,117838.62275101176,122228.37370242215
2020-10-30,112950.96485676267,115740.2099023977,114715.65437457537,114715.65437457537,115740.2099023977,114242.21453287198
2020-11-02,112950.96485676267,115740.2099023977,114715.65437457537,114715.65437457537,115740.2099023977,116632.0645905421
2020-11-03,114142.84797621384,117368.63102123563,115522.65737898671,115522.65737898671,117368.63102123563,124193.77162629757
2020-11-04,115744.90835916615,119557.46054543796,116607.38416233627,116607.38416233627,119557.46054543796,136516.72433679353
2020-11-05,115744.90835916615,119557.46054543796,116607.38416233627,116607.38416233627,119557.46054543796,155206.45905420993
2020-11-06,117153.02115024732,121496.78720034717,118498.85799620303,118498.85799620303,121496.78720034717,162016.1476355248
2020-11-09,119473.95971828098,124693.30530451014,121616.50212191058,121616.50212191058,124693.30530451014,158080.73817762398
2020-11-10,120158.26867789606,125407.50902074337,122313.08288507696,122313.08288507696,125407.50902074337,141513.26412918107
2020-11-11,118781.3660677238,123970.45497189763,120911.48809733798,120911.48809733798,123970.45497189763,157420.9919261822
2020-11-12,118781.3660677238,123970.45497189763,120911.48809733798,120911.48809733798,123970.45497189763,151381.77623990775
2020-11-13,117733.6503224183,122720.75633239228,119692.62573041301,119692.62573041301,122720.75633239228,157319.4925028835
2020-11-16,122342.7222915607,128222.50626011568,125058.62016070896,125058.62016070896,128222.50626011568,168991.92618223763
2020-11-17,121816.04983060941,127592.61478318772,124444.27123513265,124444.27123513265,127592.61478318772,164253.74855824682
2020-11-18,118467.78787452981,123584.57152171202,120535.12630851775,120535.12630851775,123584.57152171202,161591.6955017301
2020-11-19,120129.59475877942,125554.02696262732,122455.98550159282,122455.98550159282,125554.02696262732,168456.7474048443
2020-11-20,120972.22569235858,126557.01516972412,123434.22500786588,123434.22500786588,126557.01516972412,166652.82583621686
2020-11-23,121343.39409759312,127000.79085197984,123867.05053984537,123867.05053984537,127000.79085197984,173158.01614763553
