label,n_paths,Cal_p5,Cal_p50,Cal_p95,CAGR_p50,MDD_p5,MDD_p50,MDD_p95,P_MDD_lt_25,P_MDD_lt_30,P_MDD_lt_40,P_Cal_gt_2_5,P_Cal_gt_3
V1,5000,1.334715003109862,2.215574588224685,3.4937708477652505,77.22936146181885,-46.9146809038158,-34.698159368077064,-26.818752670299254,0.9816,0.8,0.2152,0.3386,0.1458
V2_FINAL,5000,1.6341817062404231,2.6383645030062675,4.0399953029932005,76.7802167720121,-39.4721296808594,-28.986476323572944,-22.452575226185676,0.8076,0.4262,0.0432,0.575,0.3158
