date,V1,V2_FINAL,SOXL_buy_hold
2010-05-25,100000.0,100000.0,100000.0
2010-05-26,100000.0,100000.0,99487.23824121746
2010-05-27,100000.0,100000.0,114630.4102137223
2010-05-28,100000.0,100000.0,109110.03847924765
2010-06-01,98593.72438168264,98593.72438168264,101689.2333623751
2010-06-02,100144.180594874,100144.180594874,112548.96211323868
2010-06-03,100618.4409224034,100618.4409224034,116862.80640023337
2010-06-04,100025.1115894131,100025.1115894131,101659.1883066585
2010-06-07,100025.1115894131,100025.1115894131,90316.74285272894
2010-06-08,100025.1115894131,100025.1115894131,89321.26439088046
2010-06-09,98847.0328493333,99076.49308899589,87541.53445763334
2010-06-10,99555.29868537013,99646.80647503702,97164.34008974895
2010-06-11,100991.17504768704,100894.25224874925,101327.23629071619
2010-06-14,100125.1083186855,99884.43816418413,103257.91970407616
2010-06-15,107336.68332543958,107078.67874903127,120452.4839331772
2010-06-16,107120.24480798366,106862.76048361111,122111.6722398357
2010-06-17,108145.27398555045,107885.32580436241,121327.24276361866
2010-06-18,108145.27398555045,107885.32580436241,120512.75744351422
2010-06-21,103562.37927296231,103313.44696977995,117315.29464867889
2010-06-22,99525.76307783677,99748.05394575768,111131.22385756507
2010-06-23,99038.71839179836,99303.98313883347,112096.47386479315
2010-06-24,98648.81929023698,98948.48637721656,102322.71475256467
2010-06-25,98648.81929023698,98948.48637721656,102654.65598033619
2010-06-28,98781.62059710434,99069.56934355471,103861.17263964532
2010-06-29,97633.10410890257,98022.39754562466,89713.48452307438
2010-06-30,96369.01728189284,97153.46306118827,85369.5897862777
2010-07-01,96087.53102067167,96947.94264864222,85701.35840331619
2010-07-02,96105.22655780046,96960.69577148017,84645.61182521608
2010-07-06,96105.22655780046,96960.69577148017,84494.65834510322
2010-07-07,99331.34949171517,100215.53565397675,97767.77642422194
2010-07-08,100289.19302932422,101181.90532161323,97043.80385724574
2010-07-09,100652.92594246802,101548.87595990833,100392.21473810854
2010-07-12,101214.86577675403,102115.81783461805,104223.16971130423
2010-07-13,102775.27083958642,103569.46184216847,110920.0022612006
2010-07-14,105150.80168182195,105486.80291956547,109894.47874363551
2010-07-15,105150.80168182195,105486.80291956547,108476.55708905809
2010-07-16,105150.80168182195,105486.80291956547,98159.81855159745
2010-07-19,105843.40484969475,106042.65598166149,105580.63445664084
2010-07-20,107593.1965084488,107180.01717438678,105882.34722979192
2010-07-21,108689.96298252748,107983.20111617855,99457.00978659705
2010-07-22,110340.79626466823,109295.28004176135,108567.05905401551
2010-07-23,110766.24491028205,109632.03894980962,110648.50715449912
2010-07-26,111966.98245079862,110582.80675307254,114630.4102137223
2010-07-27,113321.1027798467,111655.0465723605,112277.4670065372
2010-07-28,109996.75765168297,109034.67030702304,106455.56589781531
2010-07-29,110598.23212273247,109508.7755420036,100000.0
2010-07-30,110598.23212273247,109508.7755420036,96862.79992733088
2010-08-02,110598.23212273247,109508.7755420036,101990.94613552617
2010-08-03,110598.23212273247,109508.7755420036,98914.03036136489
2010-08-04,111233.79579528607,110138.07854463287,101809.95299378212
2010-08-05,110810.50359057564,109718.95601306405,99366.51860981042
2010-08-06,111087.29233509827,109993.01822829772,99487.23824121746
2010-08-09,111074.1698367503,109980.0249941514,101116.19809325555
2010-08-10,109041.5027541561,107967.38085846207,93363.44096044064
2010-08-11,109041.5027541561,107967.38085846207,82111.67547628695
2010-08-12,109041.5027541561,107967.38085846207,78823.52731759036
2010-08-13,107410.9302818032,106799.56141891834,76440.36104987026
2010-08-16,107279.42938187561,106706.37832786501,77224.79592017272
2010-08-17,107823.52224454583,107082.17987153992,80180.99206292698
2010-08-18,108233.2725081117,107402.69340118492,82865.69849306514
2010-08-19,105007.1194814027,104888.47580035514,78702.80229209791
2010-08-20,105060.49845769536,104922.331662986,79607.77878898899
2010-08-23,105608.47505504779,105359.83232117534,76802.35272744375
2010-08-24,104941.0949835677,104827.1852783013,72910.95163317802
2010-08-25,105397.4374370914,105338.03289852236,75113.11936506868
2010-08-26,105837.891345694,105778.23855667564,70829.50353269442
2010-08-27,106188.57585581075,106058.62804136859,75052.85124881708
2010-08-30,105752.5170067108,105709.97758071883,69622.98687338528
2010-08-31,103872.02645040397,104206.19028430613,65188.595565716576
2010-09-01,105567.66759780145,105563.84858935737,71251.94672542336
2010-09-02,107001.51277563165,106710.89420571014,75987.87280142473
2010-09-03,107782.22227657295,107336.14507913504,79276.0155660359
2010-09-07,107547.61668982136,107149.37534346273,74992.39433957623
2010-09-08,107547.61668982136,107149.37534346273,73755.65461973209
2010-09-09,107547.61668982136,107149.37534346273,74057.37278696857
2010-09-10,107547.61668982136,107149.37534346273,71161.44476046592
2010-09-13,109541.61987088685,109135.99486940025,78220.26898793581
2010-09-14,111891.36164653672,111477.03571464246,82051.21856704612
2010-09-15,110248.54511222089,109840.30241572118,81417.73717685654
2010-09-16,110573.3032885255,110163.85803508075,83137.19359976663
2010-09-17,111486.00940218463,111073.18446146532,83197.64511492205
2010-09-20,111203.12157464899,110791.34414788465,84193.11818268514
2010-09-21,109692.89400545982,109286.70884637162,83619.91030283259
2010-09-22,108817.77315726137,108414.82850982319,80150.76900239196
2010-09-23,110715.50323092335,110305.53142097965,81689.2268894726
2010-09-24,117080.81469216385,116647.27257648642,91402.71249136407
2010-09-27,117562.80978944401,117127.48287943652,89834.026149663
2010-09-28,118781.79349099951,118341.9527691063,94027.15080525065
2010-09-29,119102.04970959373,118661.02310119184,96108.59890573425
2010-09-30,116686.93342798369,116254.84982723929,94027.15080525065
2010-10-01,118155.6289007959,117718.10682284032,93031.67234340216
2010-10-04,118155.6289007959,117718.10682284032,89230.76782000842
2010-10-05,119883.46473105387,119439.54459716263,94811.39688256386
2010-10-06,119753.04457866371,119309.60738152811,91553.4879666585
2010-10-07,118813.25724137342,118373.30001140038,91583.70563310811
2010-10-08,120009.41879294257,119565.03225991827,94570.1302304828
2010-10-11,120132.57985628628,119687.73726640832,96289.5920474783
2010-10-12,120511.08724651598,120064.84307009123,98340.8116933415
2010-10-13,121231.13271193589,120782.22225722052,98793.29994178703
2010-10-14,119208.32820606205,118766.90805577773,97978.8254098534
2010-10-15,120758.76605864706,120311.60474480316,100211.22159636447
2010-10-18,120758.76605864706,120311.60474480316,97888.32344489597
2010-10-19,118760.27746695031,118353.7990870258,93785.88415316958
2010-10-20,118759.62564798108,118353.00618254105,95354.38709596681
2010-10-21,119087.90763621703,118680.16417054678,93936.64884029322
2010-10-22,122621.56311348273,122201.72081293172,99517.28329693404
2010-10-25,123968.3974202629,123543.94371206497,102775.2030010102
2010-10-26,121639.39484260131,121222.91537462157,101478.18437674364
2010-10-27,127280.05527774528,126844.26282929469,110799.45524052659
2010-10-28,127433.187490763,126996.87073501303,111070.95034722806
2010-10-29,128298.2212827636,127858.9427495899,113152.39844771168
2010-11-01,128799.29723502077,128358.30307471589,112005.97189983573
2010-11-02,127667.91278165259,127230.79235317471,114177.92196527676
2010-11-03,128949.30804660179,128507.80026632143,117948.77603886848
2010-11-04,135474.83106409782,135010.98063439754,128778.27633511166
2010-11-05,135866.22975563334,135401.0392212817,131462.98815933525
2010-11-08,134406.5913762749,133946.39847789856,131643.98130107927
2010-11-09,134325.61361402302,133865.6979743044,126636.55472429103
2010-11-10,134325.61361402302,133865.6979743044,126787.33019958549
2010-11-11,136996.2163763844,136527.15689622582,122352.93889191677
2010-11-12,135278.35393785918,134994.58660847234,122051.21533059486
2010-11-15,137095.1905124878,136443.07935456475,119336.28583992166
2010-11-16,134433.0798194842,134406.13056588938,114268.41314206338
2010-11-17,132898.46163086605,132952.38009352802,113936.6445250249
2010-11-18,136044.76687212515,136099.96182767948,120301.71924605357
2010-11-19,139156.56695320125,138451.0506124549,126153.84880939589
2010-11-22,141131.08200797634,140375.2678208542,130829.49598097484
2010-11-23,136950.68618139782,136217.25970950152,127330.30962481762
2010-11-24,142486.92370018334,141723.84843086812,137526.32853087122
2010-11-26,140975.44114594703,140220.46047876924,135233.84223292695
2010-11-29,140482.6075878973,139730.26624431688,134298.63728141546
