Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,0.731145977973938,0.7360420227050781,0.6760420203208923,0.6912500262260437,0.6319219470024109,9110400
2008-01-03,0.6891670227050781,0.6891670227050781,0.6578130125999451,0.664687991142273,0.607639729976654,7478400
2008-01-04,0.632082998752594,0.632082998752594,0.578125,0.5874999761581421,0.5370765924453735,18652800
2008-01-07,0.5886459946632385,0.6020830273628235,0.5612499713897705,0.574895977973938,0.5255544185638428,13756800
2008-01-08,0.5802080035209656,0.5890629887580872,0.5439580082893372,0.5469790101051331,0.5000332593917847,12288000
2008-01-09,0.5530210137367249,0.5638539791107178,0.5291669964790344,0.5572919845581055,0.5094611644744873,14611200
2008-01-10,0.551563024520874,0.5682290196418762,0.539687991142273,0.5537499785423279,0.5062231421470642,18566400
2008-01-11,0.546875,0.546875,0.5197920203208923,0.5266669988632202,0.481464684009552,14313600
2008-01-14,0.5292710065841675,0.5661460161209106,0.5292710065841675,0.5645830035209656,0.5161265730857849,11568000
2008-01-15,0.5620830059051514,0.5620830059051514,0.524167001247406,0.5301039814949036,0.48460686206817627,14112000
2008-01-16,0.5211459994316101,0.5259379744529724,0.4563539922237396,0.47947901487350464,0.4383266270160675,27484800
2008-01-17,0.48697900772094727,0.492917001247406,0.45604199171066284,0.4606249928474426,0.4210907816886902,18681600
2008-01-18,0.4891670048236847,0.4891670048236847,0.460207998752594,0.47114598751068115,0.43070879578590393,14812800
2008-01-22,0.44791701436042786,0.5105209946632385,0.36333298683166504,0.4518750011920929,0.413091778755188,19747200
2008-01-23,0.41999998688697815,0.484375,0.41999998688697815,0.4810419976711273,0.43975549936294556,19939200
2008-01-24,0.4936459958553314,0.5104169845581055,0.484375,0.5091670155525208,0.4654666483402252,18230400
2008-01-25,0.5341669917106628,0.5416669845581055,0.4848960041999817,0.4868749976158142,0.4450879395008087,26140800
2008-01-28,0.4864580035209656,0.49833300709724426,0.46875,0.49812498688697815,0.45537227392196655,18000000
2008-01-29,0.5043749809265137,0.5110419988632202,0.49104198813438416,0.503957986831665,0.4607047438621521,15609600
2008-01-30,0.5024999976158142,0.5244789719581604,0.48249998688697815,0.5021880269050598,0.45908665657043457,17433600
2008-01-31,0.48802098631858826,0.5208330154418945,0.4675000011920929,0.5118749737739563,0.46794217824935913,9206400
2008-02-01,0.5202080011367798,0.5572919845581055,0.5202080011367798,0.5552080273628235,0.507556140422821,13766400
2008-02-04,0.5630210041999817,0.5630210041999817,0.5291669964790344,0.53125,0.48565423488616943,12297600
2008-02-05,0.5208330154418945,0.522707998752594,0.48958298563957214,0.48958298563957214,0.44756338000297546,18489600
2008-02-06,0.4907290041446686,0.5010420083999634,0.46760401129722595,0.46864598989486694,0.42842352390289307,12259200
2008-02-07,0.4593749940395355,0.4907290041446686,0.44947901368141174,0.47645801305770874,0.4355649948120117,16732800
2008-02-08,0.48166701197624207,0.4937500059604645,0.4745829999446869,0.49229198694229126,0.45003998279571533,9686400
2008-02-11,0.4944790005683899,0.515625,0.4873960018157959,0.5138540267944336,0.4697515070438385,17414400
2008-02-12,0.520937979221344,0.5311459898948669,0.5006250143051147,0.5061460137367249,0.46270501613616943,11472000
2008-02-13,0.5202080011367798,0.5403130054473877,0.5202080011367798,0.5390629768371582,0.4927966594696045,10713600
2008-02-14,0.5418750047683716,0.5418750047683716,0.5049999952316284,0.5065630078315735,0.4630860984325409,12307200
2008-02-15,0.49760401248931885,0.5081250071525574,0.4833329916000366,0.48958298563957214,0.44756338000297546,9139200
2008-02-19,0.5001040101051331,0.5078129768371582,0.4790630042552948,0.4818750023841858,0.4405170977115631,7334400
2008-02-20,0.48291701078414917,0.5073959827423096,0.47416698932647705,0.4994789958000183,0.45661014318466187,11212800
2008-02-21,0.5043749809265137,0.5253130197525024,0.4921880066394806,0.49354198575019836,0.45118266344070435,10579200
2008-02-22,0.4979169964790344,0.4989579916000366,0.4733330011367798,0.49479201436042786,0.4523254632949829,7209600
2008-02-25,0.49812498688697815,0.503957986831665,0.47843798995018005,0.5022919774055481,0.4591817259788513,4492800
2008-02-26,0.5008329749107361,0.5309380292892456,0.5003129839897156,0.5222920179367065,0.4774652123451233,12998400
2008-02-27,0.5104169845581055,0.5356249809265137,0.5093749761581421,0.5306249856948853,0.4850829243659973,11251200
2008-02-28,0.5242710113525391,0.5242710113525391,0.5024999976158142,0.5069789886474609,0.46346643567085266,5328000
2008-02-29,0.49687498807907104,0.4989579916000366,0.47916701436042786,0.48052099347114563,0.4392792880535126,8659200
2008-03-03,0.47916701436042786,0.4889580011367798,0.4677079916000366,0.4781250059604645,0.43708890676498413,5568000
2008-03-04,0.4717710018157959,0.4813539981842041,0.45375001430511475,0.48124998807907104,0.43994569778442383,9792000
2008-03-05,0.4884380102157593,0.4948959946632385,0.4781250059604645,0.48854199051856995,0.44661179184913635,6614400
2008-03-06,0.4803130030632019,0.5208330154418945,0.46354201436042786,0.47697898745536804,0.4360412657260895,4041600
2008-03-07,0.46187499165534973,0.4873960018157959,0.45500001311302185,0.46864598989486694,0.42842352390289307,8160000
2008-03-10,0.4737499952316284,0.47916701436042786,0.4554170072078705,0.46562498807907104,0.42566171288490295,9120000
2008-03-11,0.47020798921585083,0.4927079975605011,0.4646880030632019,0.48822900652885437,0.4463256895542145,10627200
2008-03-12,0.4980210065841675,0.5047919750213623,0.4865629971027374,0.48906299471855164,0.44708824157714844,6201600
2008-03-13,0.46885401010513306,0.510208010673523,0.4619790017604828,0.503125011920929,0.4599432349205017,8035200
2008-03-14,0.5138540267944336,0.5138540267944336,0.4682289958000183,0.4770829975605011,0.4361363351345062,10857600
