Date,순풍_equity,SOXL_equity,position,regime
2009-05-06,1.0,1.0085303902115101,0.0,bull
2009-05-07,0.9685553295079172,0.8780632170149348,0.24213604271957748,sideways
2009-05-08,0.9485974891164866,0.803615285223855,0.24302607770267867,sideways
2009-05-11,0.9500284079186451,0.8086429567931855,0.24125132878194988,sideways
2009-05-12,0.9371033716401558,0.7630411465953578,0.2412514336486467,bear
2009-05-13,0.9249493871815204,0.7218791307344398,0.24041887400033995,bear
2009-05-14,0.9422246557887377,0.7761319749931944,0.2485670390801127,bear
2009-05-15,0.9421075527923188,0.7561570772833417,0.0,bear
2009-05-18,0.9421075527923188,0.8147474119976116,0.0,sideways
2009-05-19,0.9421075527923188,0.8581313160329767,0.0,sideways
2009-05-20,0.9421075527923188,0.8603025092917381,0.0,bull
2009-05-21,0.9421075527923188,0.808708572009841,0.0,sideways
2009-05-22,0.9421075527923188,0.8029096586389318,0.0,sideways
2009-05-26,0.9690442365718642,0.8906498803724973,0.26284714777425716,bull
2009-05-27,0.9728247194495925,0.9040057536704559,0.2602454729552955,bull
2009-05-28,0.9852034988442626,0.9473295853112222,0.2655696304531295,bull
2009-05-29,0.9889642230270654,0.9609568264516737,0.2653689539288158,bull
2009-06-01,1.0294844214537089,1.1073516175406282,0.2689603542705453,bull
2009-06-02,1.0106618154385543,1.0307198942699662,0.264167875108025,bull
2009-06-03,0.9974290209339629,0.9793002340913111,0.2624390726189461,bull
2009-06-04,1.0082192002878445,1.019812790824958,0.2615119142527898,bull
2009-06-05,0.9955628301422759,0.9748024091308373,0.2841645750691109,bull
2009-06-08,0.9975403271938912,0.9816410642350921,0.28320319623544227,bull
2009-06-09,1.0330275270307512,1.1032838545698374,0.28709880993967557,bull
2009-06-10,1.037005578297618,1.1183359833015931,0.2824301160057727,bull
2009-06-11,1.030851761425045,1.095156267787765,0.28621291653586456,bull
2009-06-12,1.0228386444181494,1.065787165261616,0.2897948162407358,bull
2009-06-15,1.012697659601847,1.0296318782474678,0.29222571668400327,bull
2009-06-16,0.9975391709080812,0.9768122395465495,0.29178045175082007,bull
2009-06-17,1.0106396706060208,1.0202328098898825,0.29548450598730064,bull
2009-06-18,0.9944801376238188,0.9676113065906811,0.30986544761443946,bull
2009-06-19,1.0049588636660423,1.0002322164953086,0.3125887584418907,bull
2009-06-22,0.976761753700044,0.9103539327457878,0.31224805659285804,bull
2009-06-23,0.9737372258617424,0.9013987368038267,0.31465545392415606,bull
2009-06-24,0.9924563581250367,0.9563886613388604,0.31512515076723197,bull
2009-06-25,1.0092746278326048,1.0063168467604842,0.32469918222323924,bull
2009-06-26,1.0082612644141606,1.0031963530151498,0.32361865102031045,bull
2009-06-29,1.009000896691596,1.005468580093459,0.3239471998928158,bull
2009-06-30,1.0115552848175369,1.013119902874442,0.3332946560869202,bull
2009-07-01,1.0327445331404992,1.076339226076134,0.3357082014961163,bull
2009-07-02,1.0183148818423071,1.0314542324645417,0.3350430349381629,bull
2009-07-06,1.0062177886287746,0.9957379743639505,0.34295590240196816,bull
2009-07-07,0.9812352870326218,0.923661000336386,0.34299839345798855,bull
2009-07-08,0.9675053079840306,0.887028928479166,0.35269342213021315,bull
2009-07-09,0.9824755932996468,0.9260433295997893,0.3518050162685765,bull
2009-07-10,0.9874644234157216,0.9394579175730827,0.3505770046549876,bull
2009-07-13,1.0142798272044469,1.0114948537594262,0.35417159173912954,bull
2009-07-14,1.0333594893861555,1.064513799278858,0.3589221993305121,bull
2009-07-15,1.0949354018222597,1.2419801777785149,0.3574374419035517,bull
2009-07-16,1.1211996884966586,1.3264995853092727,0.35251684539659384,bull
2009-07-17,1.1378141711415357,1.382658809025342,0.35004676718088895,bull
2009-07-20,1.1491581745459518,1.421716465186632,0.35299459527450117,bull
2009-07-21,1.1430056830309427,1.4002082055275282,0.3538697493258279,bull
2009-07-22,1.1686395811860988,1.4889448582978901,0.35387993522684225,bull
2009-07-23,1.188004201532665,1.5585798646441784,0.35431133261254766,bull
2009-07-24,1.1796099782971243,1.527572058379575,0.3551364101057208,bull
2009-07-27,1.1853786392075913,1.548591366130325,0.3554120175128644,bull
2009-07-28,1.1868159035334447,1.5538247202560975,0.3593726249786419,bull
2009-07-29,1.1851031974739823,1.5475845778980084,0.3593367237365011,bull
2009-07-30,1.1825361828180345,1.538703715709727,0.3760078763410206,bull
2009-07-31,1.1858432381518291,1.5500867095432393,0.37817588633296484,bull
2009-08-03,1.202419900795349,1.6073840095106269,0.37817401310769505,bull
2009-08-04,1.2026550383808252,1.6082138694629111,0.39721721639095653,bull
2009-08-05,1.1865608373533783,1.555456639658055,0.40777335372411444,bull
2009-08-06,1.1660595120558215,1.4891677411420787,0.40539571123863155,bull
2009-08-07,1.1613208672447841,1.4743167552741152,0.407394318887749,bull
2009-08-10,1.1579213345055426,1.4638534629991302,0.41213334944477514,bull
2009-08-11,1.1456445481403261,1.426596627563281,0.41649326181281515,bull
2009-08-12,1.1645604823614557,1.4831480226532634,0.41652025657166086,bull
2009-08-13,1.195557278041469,1.5769098449769097,0.42106611582967385,bull
2009-08-14,1.1656331284149124,1.4829057383174626,0.41985659025813193,bull
2009-08-17,1.129209596982282,1.3708975529113314,0.41365747024189353,bull
2009-08-18,1.1549121143013894,1.446881110249118,0.4106906184085583,bull
2009-08-19,1.1590988688718473,1.4597191298570753,0.40868036761453624,bull
2009-08-20,1.1671429672720108,1.4838126986631468,0.42082835607900443,bull
2009-08-21,1.1895096005912809,1.5513861111828693,0.42080420010412434,bull
2009-08-24,1.1752900131934323,1.5073390311862422,0.4210344542905387,bull
2009-08-25,1.1895100184711054,1.550843515573856,0.41924106566327707,bull
2009-08-26,1.2079167979718295,1.604430004267685,0.44825939603749737,bull
