Date,soxl_real,soxl_synth,soxl_spliced,source
2008-01-02,,2.8800903356941916,2.8800903356941916,synth
2008-01-03,,2.7139746270613316,2.7139746270613316,synth
2008-01-04,,2.2411237190250004,2.2411237190250004,synth
2008-01-07,,2.1689179691112392,2.1689179691112392,synth
2008-01-08,,2.0108494637711902,2.0108494637711902,synth
2008-01-09,,2.0676429716869484,2.0676429716869484,synth
2008-01-10,,2.0478515729002877,2.0478515729002877,synth
2008-01-11,,1.897538079309242,1.897538079309242,synth
2008-01-14,,2.10237843400924,2.10237843400924,synth
2008-01-15,,1.9097103978979793,1.9097103978979793,synth
2008-01-16,,1.6360696001324806,1.6360696001324806,synth
2008-01-17,,1.5395068478696965,1.5395068478696965,synth
2008-01-18,,1.5921930478676083,1.5921930478676083,synth
2008-01-22,,1.4944453371895434,1.4944453371895434,synth
2008-01-23,,1.6390804331994442,1.6390804331994442,synth
2008-01-24,,1.7827656401817655,1.7827656401817655,synth
2008-01-25,,1.6656198257213686,1.6656198257213686,synth
2008-01-28,,1.7232855043143487,1.7232855043143487,synth
2008-01-29,,1.7534893673725076,1.7534893673725076,synth
2008-01-30,,1.7441843113131956,1.7441843113131956,synth
2008-01-31,,1.794584011889072,1.794584011889072,synth
2008-02-01,,2.022397878998304,2.022397878998304,synth
2008-02-04,,1.891415602665307,1.891415602665307,synth
2008-02-05,,1.668821782507184,1.668821782507184,synth
2008-02-06,,1.561708204933061,1.561708204933061,synth
2008-02-07,,1.6006970055222753,1.6006970055222753,synth
2008-02-08,,1.6804288633865783,1.6804288633865783,synth
2008-02-11,,1.7907674185528162,1.7907674185528162,synth
2008-02-12,,1.7504053283102439,1.7504053283102439,synth
2008-02-13,,1.9210925731941986,1.9210925731941986,synth
2008-02-14,,1.7472858752582887,1.7472858752582887,synth
2008-02-15,,1.6593650216756113,1.6593650216756113,synth
2008-02-19,,1.6201147793181498,1.6201147793181498,synth
2008-02-20,,1.70883220185818,1.70883220185818,synth
2008-02-21,,1.6782988073605594,1.6782988073605594,synth
2008-02-22,,1.6846109797622444,1.6846109797622444,synth
2008-02-25,,1.7228489854177242,1.7228489854177242,synth
2008-02-26,,1.8256824217151515,1.8256824217151515,synth
