Date,SOX
2008-01-02,1.0
2008-01-03,0.980865385446014
2008-01-04,0.9239899763464965
2008-01-07,0.9141509817118261
2008-01-08,0.8920268348681388
2008-01-09,0.9005061306497303
2008-01-10,0.8977149972685358
2008-01-11,0.8758325456139621
2008-01-14,0.9074279134622931
2008-01-15,0.8797908420032452
2008-01-16,0.8378495272429395
2008-01-17,0.8214422652640183
2008-01-18,0.8308878080809209
2008-01-22,0.8139602807142414
2008-01-23,0.8402933076133783
2008-01-24,0.8649238441347672
2008-01-25,0.8460579099549811
2008-01-28,0.8558988510233662
2008-01-29,0.8609772751327721
2008-01-30,0.8595327902411609
2008-01-31,0.8678901048543171
2008-02-01,0.9046940364700922
2008-02-04,0.8852454014927913
2008-02-05,0.8505989771904953
2008-02-06,0.8324778908703026
2008-02-07,0.8394814985917177
2008-02-08,0.8534963973340042
2008-02-11,0.8722546442722664
2008-02-12,0.8657808929910599
2008-02-13,0.894001423964913
2008-02-14,0.867121952290703
2008-02-15,0.8526568795394082
2008-02-19,0.8460117380573768
2008-02-20,0.8615313648398286
2008-02-21,0.8564786051435488
2008-02-22,0.8576304166067039
2008-02-25,0.8641975304334338
2008-02-26,0.8814703697151384
2008-02-27,0.8885711565198811
2008-02-28,0.8688423379537149
2008-02-29,0.8462390835479854
2008-03-03,0.8441956020208807
2008-03-04,0.8470205740855518
2008-03-05,0.8535040209868986
2008-03-06,0.8434704331107324
2008-03-07,0.8361687265989722
2008-03-10,0.8335390995323776
2008-03-11,0.8538367283361277
2008-03-12,0.8546330405038514
2008-03-13,0.866986523677042
2008-03-14,0.8446166365299507
2008-03-17,0.8437613854600704
2008-03-18,0.8721681116219476
2008-03-19,0.8436234640311558
2008-03-20,0.8609988543216723
2008-03-24,0.8854772522579188
2008-03-25,0.8894163970664847
2008-03-26,0.8790790417356161
2008-03-27,0.8591519621864582
2008-03-28,0.8452358201389428
2008-03-31,0.8552471959130977
2008-04-01,0.8877489213277516
2008-04-02,0.8920739317320169
2008-04-03,0.9037908871004458
2008-04-04,0.9047326112570159
2008-04-07,0.8982754172196572
2008-04-08,0.877213232294877
2008-04-09,0.887615785560723
2008-04-10,0.9090939637449492
2008-04-11,0.8814775824504207
2008-04-14,0.8590524159058929
2008-04-15,0.8639057962370827
2008-04-16,0.9050721024395976
2008-04-17,0.8962996966347405
2008-04-18,0.9151197992028637
2008-04-21,0.9240324318412598
2008-04-22,0.9002358854814888
2008-04-23,0.9214759945456826
2008-04-24,0.9332752282355822
2008-04-25,0.933859329973559
2008-04-28,0.9278031510692619
2008-04-29,0.9311330782221371
2008-04-30,0.916686053206072
2008-05-01,0.949218227381887
2008-05-02,0.9622169011694666
2008-05-05,0.9458938347732926
2008-05-06,0.959201224996909
2008-05-07,0.9453914359478065
2008-05-08,0.9534820085859587
2008-05-09,0.9531389089561542
2008-05-12,0.9649372073502523
2008-05-13,0.9724594667983008
2008-05-14,0.9807480399284724
2008-05-15,1.0084338639123893
2008-05-16,1.0154105635292416
2008-05-19,1.012969564616962
2008-05-20,0.9881793316849057
2008-05-21,0.9697891487945035
2008-05-22,0.9732510028491483
2008-05-23,0.9645211614450839
2008-05-27,0.9763080020161177
2008-05-28,0.9762205887625641
2008-05-29,0.9697291323596404
2008-05-30,0.9842724776922758
2008-06-02,0.9753864386986036
2008-06-03,0.9645247849048604
2008-06-04,0.9786596312283489
2008-06-05,0.997847042547492
2008-06-06,0.9648463975389986
2008-06-09,0.9566701032768435
2008-06-10,0.9408542158696125
2008-06-11,0.9111628158314438
2008-06-12,0.9161858911061008
2008-06-13,0.9415022930279451
2008-06-16,0.9555400219010132
2008-06-17,0.9435397923404255
2008-06-18,0.9271892907139225
2008-06-19,0.9501675181665941
2008-06-20,0.947180110424395
2008-06-23,0.9235326473693084
2008-06-24,0.9262039848339315
2008-06-25,0.9405520416058222
2008-06-26,0.8983516655374237
2008-06-27,0.8922655617244154
2008-06-30,0.8863177883918234
2008-07-01,0.8839996014425497
2008-07-02,0.8608688003423923
2008-07-03,0.8370914289055484
2008-07-07,0.8489429100694481
2008-07-08,0.8531414796839485
2008-07-09,0.8176368828503823
2008-07-10,0.8356974386065442
2008-07-11,0.8344897490181216
2008-07-14,0.8269082168008929
2008-07-15,0.8326141614516978
2008-07-16,0.8526348955567316
2008-07-17,0.8781575709403727
2008-07-18,0.8767322413448366
2008-07-21,0.8716571492554923
2008-07-22,0.8487670528791893
2008-07-23,0.852799022801368
2008-07-24,0.8224437198373563
2008-07-25,0.8299064064814031
2008-07-28,0.8186734520579134
2008-07-29,0.8397423086184225
2008-07-30,0.8448084444275862
2008-07-31,0.8416581332290923
2008-08-01,0.8387879771985624
2008-08-04,0.8500506292479042
2008-08-05,0.8595212179645246
2008-08-06,0.861314878345166
2008-08-07,0.8818673615934806
2008-08-08,0.8975597980475148
2008-08-11,0.9117009742690458
2008-08-12,0.9123158689092555
2008-08-13,0.9117538230384148
2008-08-14,0.9195257883665235
2008-08-15,0.9203161901589557
2008-08-18,0.9037776416398907
2008-08-19,0.8982686946986368
2008-08-20,0.8892260951041195
2008-08-21,0.8830638465685694
2008-08-22,0.8954049662418514
2008-08-25,0.8777296321282136
2008-08-26,0.8744973288244439
2008-08-27,0.8834674363833078
2008-08-28,0.8834431711521861
2008-08-29,0.8713201911434022
2008-09-02,0.8573109000836222
2008-09-03,0.8213988508635041
2008-09-04,0.788890230284466
2008-09-05,0.7963392101454161
2008-09-08,0.797446370959114
2008-09-09,0.7673281146636637
2008-09-10,0.7691279623524602
2008-09-11,0.7689717493575368
2008-09-12,0.7706592956910808
2008-09-15,0.7435362801087342
2008-09-16,0.7467426367290726
2008-09-17,0.7249692909411701
2008-09-18,0.756657484839062
2008-09-19,0.7732286396317164
2008-09-22,0.7411712242191983
2008-09-23,0.7336284575293606
2008-09-24,0.7362016695848629
2008-09-25,0.7419820260017146
2008-09-26,0.7497651522231997
2008-09-29,0.6889928667906028
2008-09-30,0.7122348712820896
2008-10-01,0.7115737815171889
2008-10-02,0.672522532629401
2008-10-03,0.6624165656392461
2008-10-06,0.6446699992691421
2008-10-07,0.6009465560503455
2008-10-08,0.6025678376146848
2008-10-09,0.58634491119429
2008-10-10,0.5721508765492448
2008-10-13,0.6324210955011909
2008-10-14,0.5987884199231409
2008-10-15,0.5551282614753946
2008-10-16,0.5831644922129883
2008-10-17,0.575060338848973
2008-10-20,0.5904164493366282
2008-10-21,0.5635984658120122
2008-10-22,0.5395058896512251
2008-10-23,0.5288825225283856
2008-10-24,0.5228949364344821
2008-10-27,0.5220883406036951
2008-10-28,0.5722009716710963
2008-10-29,0.5542951023068177
2008-10-30,0.5866035496739949
2008-10-31,0.5964355505044822
2008-11-03,0.5900125517186557
2008-11-04,0.6115117996132544
2008-11-05,0.5776025142757355
2008-11-06,0.5350077801294255
2008-11-07,0.5516832312805084
2008-11-10,0.5355785866582576
2008-11-11,0.5230455594937253
2008-11-12,0.4997555187533478
2008-11-13,0.5335869022518763
2008-11-14,0.49686462126608216
2008-11-17,0.48317457238531786
2008-11-18,0.4755726818658933
2008-11-19,0.4461056378537077
2008-11-20,0.4413590474664798
2008-11-21,0.45022085888416746
2008-11-24,0.47519934439768585
2008-11-25,0.46798946400276387
2008-11-26,0.49787245967718985
2008-11-28,0.4939699385668875
2008-12-01,0.4546420052662455
2008-12-02,0.4675245533831289
2008-12-03,0.48894137035357804
2008-12-04,0.46327678095075997
2008-12-05,0.4759992318093135
2008-12-08,0.48480644458327704
2008-12-09,0.5069704523462876
2008-12-10,0.5137648513249695
2008-12-11,0.5026926386229569
2008-12-12,0.5256503260423213
2008-12-15,0.5197024931221328
2008-12-16,0.549493022732191
2008-12-17,0.5504074654439272
2008-12-18,0.5151367727017787
2008-12-19,0.523955902209993
2008-12-22,0.5113197824867122
2008-12-23,0.4997160256241715
2008-12-24,0.5026592089702275
2008-12-26,0.5003893172739187
2008-12-29,0.5002354307022938
2008-12-30,0.5209710591593294
2008-12-31,0.5249201074232558
2009-01-02,0.5404761253270561
2009-01-05,0.5392618409908524
2009-01-06,0.5681019793550964
2009-01-07,0.5386802143442536
2009-01-08,0.5398099335349964
2009-01-09,0.5235711644434428
2009-01-12,0.507552844662603
2009-01-13,0.5066301127576445
2009-01-14,0.48753975599114285
2009-01-15,0.49602535241336637
2009-01-16,0.5089201363590852
2009-01-20,0.4769349622852395
2009-01-21,0.49165712274984325
