date,equity
2018-06-04,99917.96794737657
2018-06-05,100323.60363254457
2018-06-06,100438.36499443263
2018-06-07,100489.94378304761
2018-06-08,100489.94378304761
2018-06-11,99455.96121596885
2018-06-12,99870.3958359547
2018-06-13,98695.25165702659
2018-06-14,98770.58071265856
2018-06-15,97591.97222654715
2018-06-18,96960.31366501472
2018-06-19,96960.31366501472
2018-06-20,96960.31366501472
2018-06-21,96981.83233294995
2018-06-22,96657.2872552186
2018-06-25,96269.19790242158
2018-06-26,95622.72531689273
2018-06-27,96612.10282101773
2018-06-28,96989.73856656546
2018-06-29,96573.002560258
2018-07-02,96621.53579848111
2018-07-03,97023.04859621785
2018-07-05,97556.95800320798
2018-07-06,98896.18773390853
2018-07-09,99818.36674570193
2018-07-10,100401.6422862552
2018-07-11,96205.01918975697
2018-07-12,96526.66482405449
2018-07-13,96564.07497630265
2018-07-16,95323.93864055314
2018-07-17,96916.9355073534
2018-07-18,96942.4880255337
2018-07-19,95567.48651474752
2018-07-20,95037.56791288845
2018-07-23,95016.2504674223
2018-07-24,91875.64992393248
2018-07-25,91783.91720273753
2018-07-26,93295.18877919759
2018-07-27,91591.96607947187
2018-07-30,91451.63413572984
2018-07-31,90654.51455727188
2018-08-01,89521.98687926125
2018-08-02,90246.69091613771
2018-08-03,90253.03306583477
2018-08-06,90585.5286278913
2018-08-07,90863.53556382346
2018-08-08,90681.77922606045
2018-08-09,90021.82457753329
2018-08-10,90021.82457753329
2018-08-13,89134.34422632668
2018-08-14,90033.09329563708
2018-08-15,90033.09329563708
2018-08-16,90033.09329563708
2018-08-17,90033.09329563708
2018-08-20,90033.09329563708
2018-08-21,91625.88320055007
2018-08-22,91713.82582914626
2018-08-23,91003.79584490499
2018-08-24,92419.15726828713
2018-08-27,93501.01943816553
2018-08-28,93861.3688531135
2018-08-29,93434.24909875757
2018-08-30,92852.88767886709
2018-08-31,93276.27022553828
2018-09-04,94059.76350194152
2018-09-05,93890.94812666994
2018-09-06,94107.97078242566
2018-09-07,93449.60744703814
2018-09-10,94711.80584320518
2018-09-11,94711.80584320518
2018-09-12,92612.07529378562
2018-09-13,90643.95604549597
2018-09-14,91480.43890950739
2018-09-17,90511.12320369198
2018-09-18,90452.05040339677
2018-09-19,89831.10536499611
2018-09-20,90810.81879622219
2018-09-21,90791.72137120373
2018-09-24,91823.20656412348
2018-09-25,91471.36137898965
2018-09-26,89613.96995217253
2018-09-27,90001.1829460061
2018-09-28,90522.26245305744
2018-10-01,89872.75182245014
2018-10-02,89053.82119281171
2018-10-03,89733.0503128402
2018-10-04,89027.03384894933
2018-10-05,89292.6599434404
2018-10-08,89119.80078664298
2018-10-09,88814.8670663519
2018-10-10,89088.20235892998
2018-10-11,88328.7624556749
2018-10-12,89738.26047090968
2018-10-15,89254.65724509119
2018-10-16,90672.23699971034
2018-10-17,90822.1810594393
2018-10-18,91000.6610867085
2018-10-19,89373.80184461674
2018-10-22,89127.55716450667
2018-10-23,87718.29752753358
2018-10-24,87718.29752753358
2018-10-25,88189.10020498409
2018-10-26,87578.68550247033
2018-10-29,87578.68550247033
2018-10-30,89531.91659459993
2018-10-31,89992.07120130117
2018-11-01,91898.87939375508
2018-11-02,91090.80842530567
2018-11-05,89836.44592168325
2018-11-06,90452.39289779973
2018-11-07,90835.20591701852
2018-11-08,90804.95578506433
2018-11-09,89282.0317761072
2018-11-12,90010.16090731049
2018-11-13,89804.06126597409
2018-11-14,89414.51574398688
2018-11-15,90908.63182298384
2018-11-16,89900.62236045575
2018-11-19,88722.55819574409
2018-11-20,88623.57861712336
2018-11-21,87962.85860470816
2018-11-23,87654.44316817784
2018-11-26,88017.66304007487
2018-11-27,88144.74002356862
2018-11-28,88772.70692749074
2018-11-29,88186.71217449199
2018-11-30,88627.8096709346
2018-12-03,89467.27608988856
2018-12-04,91381.22692923565
2018-12-06,92997.847633657
2018-12-07,94624.6469123653
2018-12-10,95262.17123832447
2018-12-11,95711.32748286259
2018-12-12,95415.24453197855
2018-12-13,95727.26867577736
2018-12-14,95245.1233699955
2018-12-17,94218.57393660804
2018-12-18,94665.01551192022
2018-12-19,93429.62871032224
2018-12-20,91643.40169648282
2018-12-21,90104.2096941402
2018-12-24,88620.7842720103
2018-12-26,90077.20739104881
2018-12-27,89548.11574893797
2018-12-28,89271.09869093302
2018-12-31,89873.04027416023
2019-01-02,89873.04027416023
2019-01-03,89873.04027416023
2019-01-04,90919.19926820998
2019-01-07,91519.53046912525
2019-01-08,91247.69300252578
2019-01-09,90829.53624447032
