date,leg,entry_px,exit_px,exit_type,qty,pnl,pnl_pct,notional
2018-06-05,LONG,12.048049999999998,12.13,MOO_NEXT,4976.575410911675,323.6036325445748,0.006801930602877926,59958.029379434396
2018-06-06,LONG,12.4033,12.44,LOC,2424.840798033926,46.82292410939044,0.0029588899728298923,30076.027870254195
2018-06-07,LONG,12.4033,12.47,MOO_NEXT,2424.840798033926,119.51722639365107,0.0053776011222821385,30076.027870254195
2018-06-12,LONG,11.88565,11.78,MOO_NEXT,5069.288597326759,-619.5479470929058,-0.008888870192206633,60251.7900168168
2018-06-14,LONG,12.0582,12.02,MOO_NEXT,4965.941954576898,-273.3986431643207,-0.0031679686852100764,59880.32127667915
2018-06-15,LONG,12.200299999999999,11.74,MOO_NEXT,4894.666265410499,-2335.040727124113,-0.03772858044474303,59716.39683788771
2018-06-15,LONG,11.92,12.0,LOC,2446.1557228480233,154.73402640447603,0.006711409395973256,29158.176216348438
2018-06-18,LONG,11.92,11.75,MOO_NEXT,2446.1557228480233,-456.3768270560322,-0.014261744966442946,29158.176216348438
2018-06-21,SHORT,2391369.5612000003,2395209.58,LOC,0.008103514445851497,3.965968566291849,0.0016057822522725917,19378.497784553758
2018-06-22,SHORT,2391369.5612000003,2356809.43,MOO_NEXT,0.008103514445851497,-306.9923783623999,-0.014452024379978168,19378.497784553758
2018-06-26,SHORT,2691562.7696,2623210.49,MOO_NEXT,0.01435443758904941,-1034.5619383258745,-0.02539501600037286,38635.86979323218
2018-06-27,SHORT,2757707.0346000004,2832011.33,LOC,0.0069300933734167194,487.81961602949013,0.026944231010665565,19111.167246306133
2018-06-28,SHORT,2757707.0346000004,2851211.4,MOO_NEXT,0.0069300933734167194,620.7847531111147,0.033906562309495625,19111.167246306133
2018-06-28,LONG,9.246649999999999,9.38,LOC,1045.391197032969,125.7724209661992,0.014421439115788193,9666.366512044902
2018-06-29,LONG,9.246649999999999,9.6,MOO_NEXT,1045.391197032969,355.5974940691085,0.0382138396067766,9666.366512044902
2018-07-02,LONG,9.743999999999998,9.19,MOO_NEXT,1993.9387995125226,-1131.0693609909104,-0.05685550082101787,19428.939662450015
2018-07-02,LONG,9.327849999999998,9.6,LOC,1029.3306618993183,266.49422817771847,0.029176069512267144,9601.442014597555
2018-07-03,LONG,9.327849999999998,9.7,MOO_NEXT,1029.3306618993183,369.3552412213194,0.039896653569686524,9601.442014597555
2018-07-03,SHORT,2818763.2784,2844011.38,LOC,0.006857604934243016,145.95835610516224,0.008957155712036702,19329.964966418862
2018-07-05,SHORT,2818763.2784,2764811.06,MOO_NEXT,0.006857604934243016,-396.7859619668052,-0.019140386428840084,19329.964966418862
2018-07-05,LONG,9.5207,9.8,LOC,2025.0438031392064,538.2070495516637,0.029336078229541984,19279.83453654744
2018-07-06,LONG,9.5207,9.76,MOO_NEXT,2025.0438031392064,457.2619986525824,0.02513470648166627,19279.83453654744
2018-07-06,LONG,9.9064,10.16,LOC,2949.4249795096,706.5451358174541,0.025599612371800085,29218.1836170139
2018-07-09,LONG,9.9064,10.48,MOO_NEXT,2949.4249795096,1649.7004580651155,0.05790196236776235,29218.1836170139
2018-07-10,LONG,10.556,10.67,LOC,2834.839222217675,281.0510632012629,0.01079954528230398,29924.562829729774
2018-07-11,LONG,10.556,10.15,MOO_NEXT,2834.839222217675,-1192.0334508750384,-0.038461538461538325,29924.562829729774
2018-07-12,LONG,10.302249999999999,9.81,MOO_NEXT,5756.3074640798495,-2914.5829555493983,-0.04778082457715538,59302.918571816626
2018-07-12,LONG,9.95715,10.06,LOC,2890.153912868658,256.75547886065397,0.010329260882883107,28777.696033520162
2018-07-13,LONG,9.95715,10.08,MOO_NEXT,2890.153912868658,314.5180949632486,0.012337867763366095,28777.696033520162
2018-07-17,LONG,10.099249999999998,9.69,MOO_NEXT,5732.892684533071,-2425.601083735324,-0.04052281109983402,57897.9164442706
2018-07-17,LONG,9.835349999999998,10.33,LOC,2869.4237537991385,1378.856405811177,0.05029307548790851,28221.78691692835
2018-07-18,LONG,9.835349999999998,10.45,MOO_NEXT,2869.4237537991385,1722.9462246717521,0.062493963102482564,28221.78691692835
