date,BASE,CHAMP_NOMARGIN
2010-08-26,88215.22944875566,89997.6792304769
2010-08-27,86048.06186052432,88373.30570713141
2010-08-30,85984.7208202372,88358.87433809057
2010-08-31,84567.28299213397,87326.44976666612
2010-09-01,86152.7747056272,88554.41368484394
2010-09-02,87417.64089391293,89612.48017462438
2010-09-03,88127.63218557384,90215.41215994027
2010-09-07,87938.97721584802,90048.93710378715
2010-09-08,87938.97721584802,90048.93710378715
2010-09-09,87938.97721584802,90048.93710378715
2010-09-10,87938.97721584802,90048.93710378715
2010-09-13,89535.05853375833,91535.40990061764
2010-09-14,91451.56667380308,93394.21538450563
2010-09-15,90111.75861053471,92104.56490966753
2010-09-16,90358.12407574209,92307.66169385627
2010-09-17,91105.77589648133,92999.86661625566
2010-09-20,90876.37972827649,92787.08577460796
2010-09-21,89612.7998762005,91592.07160911529
2010-09-22,88875.071509075,90891.21318761891
2010-09-23,90582.62729592097,92442.78304753461
2010-09-24,96024.08791524886,97218.48692159879
2010-09-27,96420.16306715313,97556.19175976989
2010-09-28,97462.98978085443,98492.40588901755
2010-09-29,97777.1826456188,98771.17024251967
2010-09-30,95588.67912618622,96895.43354185404
2010-10-01,96908.35152892953,98041.0164018773
2010-10-04,96908.35152892953,98041.0164018773
2010-10-05,98331.58470685009,99264.87350869545
2010-10-06,98224.15650985326,99172.49457570899
2010-10-07,97457.1165718326,98451.74484035771
2010-10-08,98377.20268860852,99313.2390452376
2010-10-11,98461.24633183356,99397.0765466913
2010-10-12,98732.10854500023,99756.93318244586
2010-10-13,99248.31608938464,100306.78373183124
2010-10-14,97728.86349091442,98696.23591281362
2010-10-15,98893.49250821986,99930.68753418987
2010-10-18,98893.49250821986,99930.68753418987
2010-10-19,97335.16825538295,98280.95684144984
2010-10-20,97334.94394773357,98281.26373548583
2010-10-21,97580.69639043667,98521.82718790686
2010-10-22,100090.40878105725,101151.7364829382
2010-10-25,101050.33987166514,102159.61419175504
2010-10-26,99294.77405485926,100319.36973346927
2010-10-27,103691.47168641083,104716.16259691643
2010-10-28,103810.94089439372,104835.55277453555
2010-10-29,104500.4459087886,105502.51680028532
2010-11-01,104899.84577601805,105888.85966621074
2010-11-02,103982.50732010348,105040.49751799041
2010-11-03,104977.73565530151,105965.74970022583
2010-11-04,109603.32734689882,110575.98216635112
2010-11-05,109881.93578519148,110843.36131015372
2010-11-08,108885.9397072786,109749.47777161105
2010-11-09,108830.615809487,109688.37056912004
2010-11-10,108830.615809487,109688.37056912004
2010-11-11,108830.615809487,109688.37056912004
2010-11-12,108146.33306142798,108948.37487760912
2010-11-15,109527.4941869168,110441.98740115025
2010-11-16,107311.03940070604,108229.15486896699
2010-11-17,106070.15523388822,107090.33016233484
2010-11-18,108502.15640139667,109281.32660526686
2010-11-19,110551.70061764086,111555.49290520344
2010-11-22,111879.52537673604,113035.07788067474
2010-11-23,108984.59770916626,109811.4524639681
2010-11-24,113030.49261487507,113931.04770983839
2010-11-26,111945.29318285009,112869.83658083269
2010-11-29,111556.41409469601,112516.9195616882
2010-11-30,109461.4206690628,110615.66321383123
2010-12-01,111295.55168397794,112190.40525540529
2010-12-02,113886.9569983013,114607.21952110209
2010-12-03,113729.56844449944,114546.20258316657
2010-12-06,113902.72543789992,114726.0437566199
2010-12-07,113902.72543789992,114726.0437566199
2010-12-08,113940.78913614624,114768.66613902818
2010-12-09,115066.88315263842,116029.62637174194
2010-12-10,115066.88315263842,116029.62637174194
2010-12-13,115066.88315263842,116029.62637174194
2010-12-14,115066.88315263842,116029.62637174194
2010-12-15,112386.71821077703,112960.24614461313
2010-12-16,112443.79774285943,113036.47067546097
2010-12-17,112690.1749459317,113311.78352567524
2010-12-20,112334.89864346055,112900.91681038635
2010-12-21,111826.88537344748,112278.64626248743
2010-12-22,110792.07637310801,111010.6714476998
2010-12-23,109150.2857319027,108981.03333641765
2010-12-27,108272.59869739568,107811.68277594763
2010-12-28,108022.64723168281,107509.68565360745
2010-12-29,108022.64723168281,107509.68565360745
2010-12-30,108022.64723168281,107509.68565360745
2010-12-31,108022.64723168281,107509.68565360745
2011-01-03,107185.7868548297,106571.2220805277
2011-01-04,107719.2899531727,107169.49777593437
2011-01-05,108258.13440992797,107786.4071613708
2011-01-06,110726.113607104,110662.66406618024
2011-01-07,111099.16635316703,111099.43078899558
2011-01-10,112505.46703057563,112740.39236978108
2011-01-11,113598.26633789849,114015.54049964635
2011-01-12,114942.88478684558,115613.59569147821
2011-01-13,114952.59043703148,115625.13068468156
2011-01-14,118384.20352905599,119837.07720693128
2011-01-18,117527.71280288839,118785.82433002477
2011-01-19,117527.71280288839,118785.82433002477
2011-01-20,117527.71280288839,118785.82433002477
2011-01-21,117527.71280288839,118785.82433002477
2011-01-24,120626.67904968711,122177.42173119748
2011-01-25,119614.16819527818,121069.3008583032
2011-01-26,119614.16819527818,121069.3008583032
2011-01-27,120923.79992168576,122662.52649894031
2011-01-28,122311.89863006283,124351.21073690391
2011-01-31,121641.79506897241,123671.29437110403
2011-02-01,124595.1155133647,126717.10250536434
2011-02-02,124609.97410983365,126834.45954886357
2011-02-03,124580.33693186066,126800.27147792891
2011-02-04,127052.32768383551,129815.29822353927
2011-02-07,127815.61321697083,130746.25894622885
2011-02-08,127815.61321697083,130746.25894622885
2011-02-09,127815.61321697083,130746.25894622885
2011-02-10,129850.1799226894,133369.0903115946
2011-02-11,130318.23248383371,133957.61218821822
2011-02-14,130790.98356873516,134546.19755861151
2011-02-15,130581.82322315504,134271.70525085734
2011-02-16,130131.96666628306,133706.5638480141
2011-02-17,132239.0169480776,136279.02701292327
2011-02-18,132923.89165121992,137120.00160956313
2011-02-22,132923.89165121992,137120.00160956313
2011-02-23,132652.8579450824,136851.16541312617
2011-02-24,133843.52814067196,137941.18583444925
2011-02-25,138487.6163148077,142339.07562218318
2011-02-28,140191.5894411342,143983.52628059319
2011-03-01,140191.5894411342,143983.52628059319
2011-03-02,142545.97961062344,146285.35614416358
2011-03-03,146046.57541279568,149713.7138212095
2011-03-04,145331.26152173633,149005.1602841354
2011-03-07,145331.26152173633,149005.1602841354
2011-03-08,143708.90867304985,147394.93269667443
2011-03-09,142128.21316238135,145826.05110552436
2011-03-10,139583.71863048495,143243.7599935581
2011-03-11,140494.1177274057,144032.41139379423
2011-03-14,139266.0131313845,142804.6084424744
2011-03-15,134859.4531547963,138304.2018976804
2011-03-16,129733.21313792521,133980.8623304415
2011-03-17,129095.89851428574,133621.7043928874
2011-03-18,131067.54192276413,135005.6581416948
2011-03-21,131037.62146540007,134980.43763380236
2011-03-22,131252.92614887364,135161.9219407684
2011-03-23,132678.27098697645,136614.46499291252
2011-03-24,137137.03989500945,141252.22136813967
2011-03-25,135121.12974222982,138895.48960820833
2011-03-28,136302.98076785106,140248.3541545105
2011-03-29,137555.90175639407,141574.67876323708
2011-03-30,139434.11111130007,143562.92487814103
2011-03-31,139434.11111130007,143562.92487814103
2011-04-01,139434.11111130007,143562.92487814103
2011-04-04,139434.11111130007,143562.92487814103
2011-04-05,139560.36687187746,143711.48984653252
2011-04-06,141485.55815487556,145980.9350275583
2011-04-07,141427.36303736403,145911.3352229902
2011-04-08,141427.36303736403,145911.3352229902
2011-04-11,141427.36303736403,145911.3352229902
2011-04-12,141427.36303736403,145911.3352229902
2011-04-13,141427.36303736403,145911.3352229902
2011-04-14,141820.5753522903,146390.86141517453
2011-04-15,141975.55176855673,146606.3293423312
2011-04-18,140086.12719952172,144210.0892735977
2011-04-19,140207.24085256693,144357.1165091046
2011-04-20,146352.12866131094,151972.8005788815
2011-04-21,148149.8688899716,154324.31872979243
2011-04-25,147268.94997661377,153074.9885143687
2011-04-26,149996.43131189578,156680.11189407934
2011-04-27,148962.9869041167,155317.49384785892
2011-04-28,148962.9869041167,155317.49384785892
2011-04-29,149347.95723394243,155866.5944095776
2011-05-02,150146.6638273695,157005.8256830572
2011-05-03,150146.6638273695,157005.8256830572
2011-05-04,150146.6638273695,157005.8256830572
2011-05-05,150827.39264814212,157839.34630627107
2011-05-06,151343.38244023186,158668.53982868203
2011-05-09,151267.1684090863,158580.57295861133
2011-05-10,151267.1684090863,158580.57295861133
2011-05-11,151267.1684090863,158580.57295861133
