year,BASE_start_$,BASE_end_$,BASE_ret_%,BASE_mdd_%,BASE_sharpe,BASE_days,CHAMP_start_$,CHAMP_end_$,CHAMP_ret_%,CHAMP_mdd_%,CHAMP_sharpe,CHAMP_days,Δ_ret_pp,Δ_mdd_pp
2010,97240.32012817703,108022.64723168281,11.088329500862493,-19.73139933563307,0.7611501285825376,154,97240.32012817703,107509.68565360745,10.560810075382188,-14.657038414900603,0.8261156891846824,154,-0.5275194254803051,5.0743609207324685
2011,107185.7868548297,137246.22332750843,28.045170311052516,-21.14081204345114,1.1188245619737434,252,106571.2220805277,141625.54976902134,32.89286451271598,-19.427306439517988,1.4213893645141142,252,4.847694201663465,1.7135056039331538
2012,133933.7984557525,198671.10037516322,48.33529898041225,-13.28684862369489,2.0098257547119274,250,138704.0800553423,197371.28706208256,42.29666999221098,-14.57007964670176,1.6689405732612965,250,-6.038628988201268,-1.28323102300687
2013,205097.289455965,283358.8791796201,38.158275972953874,-10.634715720138221,1.8814609395927369,252,203626.64003424012,312568.3471587341,53.500714398752194,-15.438277080685214,1.8089097262017289,252,15.34243842579832,-4.803561360546993
2014,280011.16023582243,421421.6288070285,50.50172587839417,-6.893978328311434,2.7002650662958136,252,307126.1144745687,535831.431547996,74.46625548748804,-7.459307078034804,2.7920125016745585,252,23.964529609093873,-0.5653287497233705
2015,417271.9710849663,432352.0769999692,3.6139752870993025,-16.612257142889298,0.2718861080487944,252,531502.0920056797,553965.335404973,4.2263697052491,-18.8721048059856,0.2886168059650951,252,0.6123944181497976,-2.259847663096302
2016,432352.0769999692,676664.4300628302,56.507732022038695,-10.22919923293909,2.2390807729527533,252,553965.335404973,1070679.7856311845,93.27559274958432,-13.95892099649878,2.5637013246299856,252,36.767860727545624,-3.7297217635596898
2017,660508.7067792699,1088935.2262814706,64.863114612261,-4.650709896749294,3.6109799720536486,251,1034265.1850598992,2281075.621012824,120.55036309481073,-7.27258374969133,3.5324954570168052,251,55.687248482549734,-2.621873852942036
2018,1120096.7334192167,1075182.1716198982,-4.009882402050402,-18.590279072032434,-0.058316797464292344,251,2389869.5947503033,2221319.918797547,-7.052672510793068,-22.730687933247427,-0.11888869830574991,251,-3.0427901087426656,-4.140408861214993
2019,1075182.1716198982,1795965.5134865826,67.03825276238844,-15.94875559662321,2.0865198492054247,252,2221319.918797547,4227167.454241028,90.2998041150819,-18.104934351613434,2.1118780791160274,252,23.26155135269346,-2.156178754990224
2020,1844317.7932124755,2837733.1634832905,53.86356808608679,-20.40215434950251,1.3775341998354673,253,4382905.8860836215,6174317.695507507,40.8726962427344,-11.998884397545062,1.4507033164874639,253,-12.990871843352387,8.403269951957448
2021,2758085.782291971,7091172.477500984,157.1048559486143,-16.443528658150754,3.1788218359723666,252,6021969.430801138,14897214.926860087,147.381111745003,-15.456280833657432,3.0981765041459024,252,-9.72374420361129,0.9872478244933216
2022,7271504.658929028,7086733.150275726,-2.5410354159150828,-20.79490169591014,0.09012345233111532,251,15337020.715160912,13967533.653755426,-8.929290028615034,-23.47854578706444,-0.188290401941661,251,-6.388254612699951,-2.6836440911542994
2023,7196776.607788404,12015966.351969898,66.96316985810189,-17.110938764615845,1.7456386434696534,250,14169964.324091613,25866350.78963254,82.54351385807558,-21.048558651368054,1.7414006438529648,250,15.580343999973692,-3.937619886752209
2024,12015966.351969898,18851355.236130144,56.88588569524127,-13.85052638768377,1.4821752499244105,252,25866350.78963254,48230527.59885768,86.46050226067798,-15.785336195713374,1.575777408910669,252,29.574616565436713,-1.9348098080296037
2025,18598640.601581283,32482627.182595007,74.65054505022957,-21.0451631487506,1.7341649075523722,250,47485211.78725247,85365493.39753257,79.77279701308852,-16.700747926798144,1.8964135391189267,250,5.122251962858954,4.344415221952456
2026,33075276.716810055,70643906.2705996,113.58523127546749,-20.641170801324236,3.1760117191668797,124,87449110.73851496,197573638.78913563,125.92984322037117,-19.44902148908888,3.1507597632036797,124,12.344611944903676,1.1921493122353546
