window,from,to,years,BASE_CAGR_%,CHAMP_CAGR_%,Δ_CAGR_pp,BASE_MDD_%,CHAMP_MDD_%,Δ_MDD_pp,BASE_Sharpe,CHAMP_Sharpe,BASE_Calmar,CHAMP_Calmar,Δ_Calmar,BASE_Final_$,CHAMP_Final_$,Final_ratio
16y_full,2010-05-25,2026-07-02,16.10403832991102,50.08115167325249,59.8735649120073,9.792413238754811,-21.14081204345114,-23.47854578706444,-2.337733743613299,1.5772744212135044,1.6741614931581512,2.3689322609897707,2.55013941046531,0.18120714947553918,67206227.4402638,185983111.3829853,2.7673493732153953
15.4y_VIX9D,2011-01-03,2026-07-02,15.493497604380561,51.546155006608615,61.89682429768473,10.350669291076116,-21.14081204345114,-23.47854578706444,-2.337733743613299,1.61054360687025,1.7031576362165763,2.4382296621655195,2.636314227424891,0.19808456525937146,67206227.4402638,185983111.3829853,2.7673493732153953
10y,2016-07-05,2026-07-02,9.990417522245037,65.43657930187506,78.87058800451312,13.434008702638067,-21.0451631487506,-23.47854578706444,-2.433382638313841,1.7470706507657483,1.8589405465523936,3.109340556752104,3.3592620565097797,0.24992149975767575,67206227.4402638,185983111.3829853,2.7673493732153953
8y,2018-07-02,2026-07-02,8.0,66.34014395544072,72.22068267276396,5.880538717323233,-21.0451631487506,-23.47854578706444,-2.433382638313841,1.6611656193444568,1.684954670627218,3.1522751088474776,3.0760287850772303,-0.07624632377024732,67206227.4402638,185983111.3829853,2.7673493732153953
5y,2021-07-02,2026-07-02,4.999315537303217,67.99085423504567,78.4444625666863,10.453608331640623,-21.0451631487506,-23.47854578706444,-2.433382638313841,1.6163435853979589,1.6622136022254246,3.230711672533749,3.3411124895948814,0.11040081706113236,67206227.4402638,185983111.3829853,2.7673493732153953
4y,2022-07-05,2026-07-02,3.991786447638604,82.26103738461407,96.91150078511197,14.650463400497898,-21.0451631487506,-21.048558651368054,-0.003395502617454582,1.8053237673047835,1.8341155393092203,3.9087859192717977,4.6041870320091105,0.6954011127373128,67206227.4402638,185983111.3829853,2.7673493732153953
3y,2023-07-03,2026-07-02,2.9979466119096507,94.78254153859427,119.21818337545287,24.435641836858593,-21.0451631487506,-19.44902148908888,1.5961416596617184,1.9509466631007917,2.016305592315552,4.503768436892411,6.12977796555655,1.626009528664139,67206227.4402638,185983111.3829853,2.7673493732153953
2y,2024-07-02,2026-07-02,1.998631074606434,91.09049621316512,100.1429768392081,9.052480626042978,-21.0451631487506,-19.44902148908888,1.5961416596617184,1.812704441072711,1.848619139723136,4.328334048509048,5.148998210289882,0.8206641617808339,67206227.4402638,185983111.3829853,2.7673493732153953
1y,2025-07-02,2026-07-02,0.999315537303217,181.76575867785982,208.0007244804564,26.234965802596577,-20.641170801324236,-19.44902148908888,1.1921493122353546,2.6085430843206483,2.589951746575119,8.805981037965084,10.694662690210258,1.8886816522451735,67206227.4402638,185983111.3829853,2.7673493732153953
