crisis,from,to,BASE_ret_%,BASE_mdd_%,CHAMP_ret_%,CHAMP_mdd_%,Δ_ret_pp,Δ_mdd_pp
2011 Euro/Debt Aug,2011-07-22,2011-10-04,-14.866101439281444,-18.565318283016097,-13.600263382351052,-15.516358013368837,1.2658380569303915,3.04896026964726
2015-2016 Aug crash,2015-08-17,2016-02-11,1.6874764883918258,-10.238189400246833,3.1139973033679658,-10.572645429195903,1.42652081497614,-0.3344560289490701
2018 Q4 selloff,2018-09-20,2018-12-24,-10.333518396412423,-12.35229542050491,-10.609457063172078,-12.2073588733026,-0.2759386667596555,0.14493654720231142
2020 Covid panic,2020-02-19,2020-04-30,-0.8268870340056966,-20.40215434950251,-1.5088578954885135,-11.998884397545062,-0.6819708614828168,8.403269951957448
2020 Covid recovery,2020-04-30,2020-12-31,40.451512692682435,-14.8235045395115,27.969499385725904,-11.08971747927965,-12.482013306956532,3.733787060231851
2022 bear,2022-01-03,2022-10-13,-18.11387036946105,-19.82590237087557,-21.57312134778052,-23.111121232717114,-3.4592509783194707,-3.2852188618415425
2024-08 carry unwind,2024-07-10,2024-09-15,-4.185705956775476,-13.155909507888586,-5.826622703912521,-14.296846304416121,-1.6409167471370445,-1.1409367965275354
2025 tariff,2025-02-19,2025-04-30,-2.7994491930017795,-21.0451631487506,-4.755025323372896,-16.700747926798144,-1.9555761303711168,4.344415221952456
