date,yangbyungi_consensus,yangbyungi_rsi,goldenbyungi,soxl_bnh
2020-10-06,108537.25637232719,107010.09383652937,126779.31353957081,121803.92156862745
2020-10-07,112435.97050420188,110357.73882112127,126779.31353957081,129430.21914648214
2020-10-08,112345.16729353777,110279.75459292949,126779.31353957081,133813.14878892733
2020-10-09,116204.8414260914,113594.54606448254,126807.98884145328,140502.88350634373
2020-10-12,115673.97257805633,113140.47006009043,130952.08785943913,147386.38985005766
2020-10-13,115704.68529985772,113166.74003251622,129447.99486477317,147123.41407151095
2020-10-14,115704.68529985772,113166.74003251622,130984.6743768804,145116.49365628604
2020-10-15,115704.68529985772,113166.74003251622,136493.8204055988,143303.3448673587
2020-10-16,115704.68529985772,113166.74003251622,139644.46442945534,140968.85813148788
2020-10-19,115704.68529985772,113166.74003251622,139644.46442945534,138657.4394463668
2020-10-20,115704.68529985772,113166.74003251622,139644.46442945534,139395.61707035755
2020-10-21,115704.68529985772,113166.74003251622,135951.22548929814,135460.20761245675
2020-10-22,115704.68529985772,113166.74003251622,135625.50661011544,136281.43021914648
2020-10-23,115704.68529985772,113166.74003251622,131514.53362329194,131404.84429065743
2020-10-26,115039.4635477305,112516.10970677045,125002.200631356,124724.33679354093
2020-10-27,113691.09884675304,111197.3209542745,128370.17977722788,124175.31718569782
2020-10-28,113691.09884675304,111197.3209542745,128370.17977722788,111797.00115340254
2020-10-29,117838.62275101176,114746.80158642061,128370.17977722788,122228.37370242215
2020-10-30,115740.2099023977,112950.96485676267,128370.17977722788,114242.21453287198
2020-11-02,115740.2099023977,112950.96485676267,128370.17977722788,116632.0645905421
2020-11-03,117368.63102123563,114142.84797621384,130337.15773449665,124193.77162629757
2020-11-04,119557.46054543796,115744.90835916615,134587.66450215876,136516.72433679353
2020-11-05,119557.46054543796,115744.90835916615,134587.66450215876,155206.45905420993
2020-11-06,121496.78720034717,117153.02115024732,134587.66450215876,162016.1476355248
2020-11-09,124693.30530451014,119473.95971828098,120785.23802315505,158080.73817762398
2020-11-10,125407.50902074337,120158.26867789606,116142.55374677826,141513.26412918107
2020-11-11,123970.45497189763,118781.3660677238,116142.55374677826,157420.9919261822
2020-11-12,123970.45497189763,118781.3660677238,116142.55374677826,151381.77623990775
2020-11-13,122720.75633239228,117733.6503224183,114858.22803540707,157319.4925028835
2020-11-16,128222.50626011568,122342.7222915607,121326.97676905658,168991.92618223763
2020-11-17,127592.61478318772,121816.04983060941,119823.94932407352,164253.74855824682
2020-11-18,123584.57152171202,118467.78787452981,115101.66651375983,161591.6955017301
2020-11-19,125554.02696262732,120129.59475877942,117372.61199413368,168456.7474048443
2020-11-20,126557.01516972412,120972.22569235858,119681.72428539189,166652.82583621686
2020-11-23,127000.79085197984,121343.39409759312,120230.35236587071,173158.01614763553
2020-11-24,127995.75474958224,122175.5694012553,122563.90027422647,176622.8373702422
2020-11-25,127995.75474958224,122175.5694012553,122563.90027422647,173522.49134948096
2020-11-27,126570.95021210998,120985.55518755916,122440.21637810272,180392.1568627451
2020-11-30,127040.73723146191,121377.87542431414,125016.9987495149,185688.58131487892
2020-12-01,131220.78189094528,124872.37853929437,130538.72552260628,196848.9042675894
2020-12-02,130893.10631630331,124599.53357780701,129886.7231403317,199972.31833910034
2020-12-03,132108.82001025183,125612.06523066443,126041.9023311325,198689.7347174164
2020-12-04,132108.82001025183,125612.06523066443,133423.21815456596,214745.0980392157
2020-12-07,132108.82001025183,125612.06523066443,133932.76152391435,218915.80161476356
2020-12-08,131120.51510105268,124789.82532932085,134669.11366409718,221081.89158016146
2020-12-09,128690.29015166032,122767.95140758723,121592.0125935173,201845.44405997693
2020-12-10,129769.08444315719,123668.45597849184,118852.02918054613,203012.68742791234
2020-12-11,125258.86269277046,119901.79275171054,115870.48699736012,194117.64705882352
2020-12-14,128131.129104224,122301.47218709854,119474.7161537414,202989.61937716263
2020-12-15,131187.72823879353,124854.03785517493,123019.65745406674,210168.39677047293
2020-12-16,131187.72823879353,124854.03785517493,122811.86350157131,211185.6978085352
2020-12-17,131187.72823879353,124854.03785517493,124357.46297304485,211141.8685121107
2020-12-18,131187.72823879353,124854.03785517493,120655.43948904269,206634.37139561708
2020-12-21,131489.98122792572,125105.74065026015,117298.27424394799,204895.04036908882
2020-12-22,131558.5564147392,125162.84700425851,117433.45815434733,203640.1384083045
2020-12-23,131558.5564147392,125162.84700425851,116601.21121828695,203432.52595155707
2020-12-24,131558.5564147392,125162.84700425851,116444.92399734915,203866.20530565165
2020-12-28,131558.5564147392,125162.84700425851,121037.93033732481,203543.2525951557
2020-12-29,131558.5564147392,125162.84700425851,121037.93033732481,203580.16147635522
2020-12-30,,,122010.81320426372,211935.40945790082
2020-12-31,,,122275.54427385554,214445.21337946944
2021-01-04,131558.5564147392,125162.84700425851,119753.03137576733,212083.04498269898
2021-01-05,133639.6147632192,126895.24887479535,123048.07726592074,224595.15570934254
2021-01-06,131734.41783433524,125309.26294834641,118862.31180332419,223307.95847750866
2021-01-07,136790.38337070355,129517.11339912948,122078.95287767788,248710.49596309112
2021-01-08,136790.38337070355,129517.11339912948,127342.22485277797,247737.0242214533
2021-01-11,141770.99559005513,133643.42834175122,132329.25855768914,257047.2895040369
2021-01-12,140047.21606751072,132220.78870920744,130088.15516462382,259976.93194925028
2021-01-13,143174.82042554975,134800.927158327,133709.70169649334,265434.83275663207
2021-01-14,143174.82042554975,134800.927158327,134634.8022117034,279275.6632064591
2021-01-15,143174.82042554975,134800.927158327,131944.7806931644,261471.7416378316
2021-01-19,147335.04492163262,138228.21872323295,131944.7806931644,288249.1349480969
2021-01-20,149911.53924742472,140350.79582889867,131944.7806931644,286149.94232987316
2021-01-21,150528.98901188024,140856.60825987058,132650.61973602104,298546.71280276816
2021-01-22,149020.2819879777,139620.68136943356,129312.00247713127,283700.11534025375
2021-01-25,149020.2819879777,139620.68136943356,129312.00247713127,281264.12918108416
2021-01-26,149020.2819879777,139620.68136943356,129312.00247713127,270459.0542099193
2021-01-27,149020.2819879777,139620.68136943356,119752.22718076338,228890.4267589389
2021-01-28,149020.2819879777,139620.68136943356,127331.80017582,243561.70703575545
2021-01-29,146022.54114634634,137097.93135738964,127331.80017582,234934.25605536334
2021-02-01,150155.08949005263,140086.00959911835,131649.72566182044,258948.09688581314
2021-02-02,150155.08949005263,140086.00959911835,137518.650397913,270371.3956170704
2021-02-03,150789.2247753676,140677.6211253574,137518.650397913,253905.42099192622
2021-02-04,153090.77210361767,142559.03155760266,137518.650397913,257896.1937716263
2021-02-05,154465.6662028944,143681.39111306472,137518.650397913,253993.07958477509
2021-02-08,159369.15783775918,147672.3941115745,144343.99505952557,276752.01845444064
2021-02-09,158894.90158858304,147286.39200257405,143257.22375799384,276078.43137254904
2021-02-10,158894.90158858304,147286.39200257405,139203.60978762628,275713.9561707036
2021-02-11,165634.7078101014,152752.87654571852,151555.49139822728,304622.8373702422
2021-02-12,169265.4249760916,155681.3756759496,149497.94158963376,316747.40484429064
2021-02-16,171467.5356856178,157459.53563473764,149497.94158963376,321074.97116493655
2021-02-17,171467.5356856178,157459.53563473764,146235.08081130154,304862.7450980392
2021-02-18,171214.1984843057,157255.97486634878,140134.05889998047,297019.60784313723
2021-02-19,177366.74322321368,162199.64965280838,141128.17891061047,316442.9065743945
2021-02-22,165424.6050541906,152660.43265591815,134757.45272320203,282237.600922722
2021-02-23,158357.43437810236,147285.5114341305,134757.45272320203,276415.2249134948
2021-02-24,168109.59416512612,155222.0372216786,142445.04628481643,294897.34717416385
2021-02-25,148792.6902945081,140028.25398816823,140286.62604457533,253194.92502883504
2021-02-26,152650.83031825355,142983.13053309635,140286.62604457533,267760.092272203
2021-03-01,155729.43419256326,145506.24141828372,140286.62604457533,291750.8650519031
2021-03-02,155729.43419256326,145506.24141828372,140286.62604457533,17882.35294117647
2021-03-03,157442.6868385728,147107.0239191212,140286.62604457533,16267.589388696655
2021-03-04,142332.58485617887,137532.2889975647,140286.62604457533,13838.523644752018
2021-03-05,149649.09719823065,142030.07555886524,140286.62604457533,15040.369088811998
2021-03-08,133025.21486091308,131374.31235173118,140286.62604457533,12848.904267589389
2021-03-09,141547.33742541962,136595.83854515117,140286.62604457533,14985.005767012684
2021-03-10,141547.33742541962,136595.83854515117,140286.62604457533,14196.078431372549
2021-03-11,141547.33742541962,136595.83854515117,140286.62604457533,15990.772779700113
2021-03-12,141547.33742541962,136595.83854515117,140286.62604457533,15395.617070357554
2021-03-15,144452.65737542819,138698.60477533092,143855.74813552143,16389.850057670126
2021-03-16,145647.04146032874,139564.4636275997,146388.26785752873,17038.062283737025
2021-03-17,146458.5767203284,140195.05759125142,152240.6693001546,17670.12687427912
2021-03-18,144886.0601342704,139299.32418475518,147443.4821389891,15621.683967704728
2021-03-19,145345.0787380916,139592.25809567404,147443.4821389891,15990.772779700113
2021-03-22,148510.40175614733,141874.71037317227,146085.75694575167,17019.607843137255
2021-03-23,150450.3068421123,143727.93727827916,146771.61860074423,15690.888119953863
2021-03-24,148745.62216464983,142099.42074319033,146771.61860074423,15042.675893886964
2021-03-25,148745.62216464983,142099.42074319033,149623.7094047935,15164.936562860437
2021-03-26,163501.91551741306,152672.13898808355,161647.61511312012,17374.855824682814
2021-03-29,161449.14119740628,151201.34927233696,158045.32016785454,16493.656286043828
2021-03-30,159360.82133261376,149734.52458565697,158045.32016785454,16138.408304498269
2021-03-31,170124.23246704854,157275.62623574995,163106.57492105337,17808.535178777394
2021-04-01,177345.92042338208,162287.27155790542,168338.78709256882,19490.19607843137
2021-04-05,181018.763757193,164822.68867948567,168338.78709256882,20779.700115340253
2021-04-06,175930.57284444507,160768.86504165697,168338.78709256882,19916.95501730104
2021-04-07,174040.21829484837,159256.83760400716,168338.78709256882,19972.318339100344
2021-04-08,178652.6487563733,162944.03691624175,168338.78709256882,20645.905420991927
2021-04-09,178922.0343590164,163159.02354337223,170500.36932987356,20479.815455594002
2021-04-12,177485.3084558451,162012.42605262581,167055.05241818415,19856.978085351788
2021-04-13,177485.3084558451,162012.42605262581,167055.05241818415,19718.56978085352
2021-04-14,170809.44277797538,156680.28586931917,159176.73233892504,18985.005767012684
2021-04-15,175464.79834936786,160398.38875568638,163754.15231303585,19976.931949250287
2021-04-16,175852.35729011995,160708.33780450176,164181.78551770773,19709.342560553632
2021-04-19,175421.9614314962,160315.0066936583,153617.05596102474,18219.14648212226
2021-04-20,176363.42854775806,161175.39672586255,151504.28197883858,17409.45790080738
2021-04-21,184633.56780310057,167788.58809512586,160222.21140966602,18800.461361014994
2021-04-22,183156.74662231212,166610.1563645469,156982.5418584402,17420.991926182236
2021-04-23,185669.3876630605,168547.46447472775,156982.5418584402,18440.59976931949
2021-04-26,190668.43556179208,172518.04595997327,156982.5418584402,19474.048442906576
2021-04-27,191341.68850610877,173052.73019435274,156982.5418584402,19114.186851211074
2021-04-28,191341.68850610877,173052.73019435274,156982.5418584402,18242.214532871974
2021-04-29,191341.68850610877,173052.73019435274,156982.5418584402,18535.17877739331
2021-04-30,183243.83658499303,166644.37261020724,147743.11415128584,16991.9261822376
2021-05-03,186501.52823884596,169205.97131482651,151184.74888169643,16424.452133794694
2021-05-04,185745.27572929845,168519.85125111643,151184.74888169643,15591.695501730104
2021-05-05,182692.6710019327,165750.33535056753,151184.74888169643,15946.943483275663
2021-05-06,184410.58229348267,167114.10831817432,152992.38633460857,16223.760092272201
2021-05-07,186040.1788357745,168411.01545461646,157639.07661137325,17010.38062283737
